"time","cpu_request","cpu_limit","cpu_usage"
1724514000000,0.1,0.25,undefined
1724514030000,0.1,0.25,undefined
1724514060000,0.1,0.25,undefined
1724514090000,0.1,0.25,undefined
1724514120000,0.1,0.25,undefined
1724514150000,0.1,0.25,undefined
1724514180000,0.1,0.25,undefined
1724514210000,0.1,0.25,undefined
1724514240000,0.1,0.25,undefined
1724514270000,0.1,0.25,undefined
1724514300000,0.1,0.25,undefined
1724514330000,0.1,0.25,undefined
1724514360000,0.1,0.25,undefined
1724514390000,0.1,0.25,undefined
1724514420000,0.1,0.25,undefined
1724514450000,0.1,0.25,undefined
1724514480000,0.1,0.25,undefined
1724514510000,0.1,0.25,undefined
1724514540000,0.1,0.25,undefined
1724514570000,0.1,0.25,undefined
1724514600000,0.1,0.25,undefined
1724514630000,0.1,0.25,undefined
1724514660000,0.1,0.25,undefined
1724514690000,0.1,0.25,undefined
1724514720000,0.1,0.25,undefined
1724514750000,0.1,0.25,undefined
1724514780000,0.1,0.25,undefined
1724514810000,0.1,0.25,undefined
1724514840000,0.1,0.25,undefined
1724514870000,0.1,0.25,undefined
1724514900000,0.1,0.25,undefined
1724514930000,0.1,0.25,undefined
1724514960000,0.1,0.25,undefined
1724514990000,0.1,0.25,undefined
1724515020000,0.1,0.25,undefined
1724515050000,0.1,0.25,undefined
1724515080000,0.1,0.25,undefined
1724515110000,0.1,0.25,undefined
1724515140000,0.1,0.25,undefined
1724515170000,0.1,0.25,undefined
1724515200000,0.1,0.25,undefined
1724515230000,0.1,0.25,undefined
1724515260000,0.1,0.25,undefined
1724515290000,0.1,0.25,undefined
1724515320000,0.1,0.25,undefined
1724515350000,0.1,0.25,undefined
1724515380000,0.1,0.25,undefined
1724515410000,0.1,0.25,undefined
1724515440000,0.1,0.25,undefined
1724515470000,0.1,0.25,undefined
1724515500000,0.1,0.25,undefined
1724515530000,0.1,0.25,undefined
1724515560000,0.1,0.25,undefined
1724515590000,0.1,0.25,undefined
1724515620000,0.1,0.25,undefined
1724515650000,0.1,0.25,undefined
1724515680000,0.1,0.25,undefined
1724515710000,0.1,0.25,undefined
1724515740000,0.1,0.25,undefined
1724515770000,0.1,0.25,undefined
1724515800000,0.1,0.25,undefined
1724515830000,0.1,0.25,undefined
1724515860000,0.1,0.25,undefined
1724515890000,0.1,0.25,undefined
